28 @-@ Year @-@ Old Chef Found Dead at San Francisco Mal ||| 28 岁 厨师 被 发现 死 于 旧金山 一家 商
but in St . Petersburg came the official message that it &apos;s time to move on ||| 然而 ， 圣彼德 斯堡 传来 的 消息 显示 ， 是 时候 该 向前 看 了
after all , this meeting only happened because Mr Putin got the apology he demanded from President Erdogan ||| 毕竟 此次 会面 的 前提 是 普京 收到 土耳其 总统 埃 尔多 安 的 道歉
Russia could claim a victory of sorts ||| 俄罗斯 可以 宣布 胜利 了
for Ankara the benefits of calling a truce are clear ||| 对于 安卡拉 来说 ， 休战 的 好处 显而易见
first and foremost , Erdogan needs all the friends he can get after he was nearly ousted from power last month in a failed coup ||| 首先 ， 埃 尔多 安在 上个月 政变 失败 后 险些 被 赶下台 ， 因此 他 需要 所有 朋友 的 支持
repeat terror attacks on Turkey have clearly shaken him too ||| 不断 的 恐怖袭击 显然 已 对 他 造成 很大 打击
there is also an economic motive ||| 同时 也 有 经济 动机
Russian sanctions have hit hard - particularly the ban on charter flights , which usually carry several million Russian tourists to the Turkish coast each year ||| 俄罗斯 制裁 对 土耳其 打击 很大 ， 尤其 是 禁止 每年 可 输送 几百万 俄罗斯 游客 至 土耳其 海岸 的 包机 服务
the number has slumped by almost 90 % ||| 该 数字 已 大幅 下滑 近 90%
as for Russia , tour operators and charter companies here will certainly be relieved when flights eventually resume ||| 随着 航班 恢复 ， 俄罗斯 的 旅行社 与 包机 公司 必将 松 一口气
they &apos;re banking on a late @-@ season rush to the Mediterranean ||| 他们 将 迎来 季末 地中海 旅游 潮
and even this week , state TV has been predicting cheaper fruit and vegetables once Turkish agricultural imports are permitted again ||| 国家 电视台 甚至 在 本周 预测 ， 一旦 土耳其 农产品 进口 重新 放开 ， 水果 及 蔬菜 的 价格 将 下降
&quot; tourists that way , tomatoes back here , &quot; as a report in Vedemosti newspaper phrased it ||| 莫斯科 报纸   Vedemosti   的 一篇 报道 称 ： “ 游客 去 了 ， 番茄 回来 了 。
but the visit also had additional political value for Moscow ||| 对于 莫斯科 来说 ， 此次 访问 也 具有 额外 的 政治 价值
Ankara is angry with the West for what it considers a weak response to the attempted takeover ||| 安卡拉 对于 西方 世界 对 接管 意图 的 微弱 反应 感到 愤怒
add to that its long @-@ standing grudge at the snail &apos;s pace of talks to join the EU and step in Mr Putin - who is keen to capitalise on the chill and chip away at Turkey &apos;s ties with the West ||| 此外 ， 安卡拉 对于 加入 欧盟 谈判 的 缓慢 进展 及 普京 的 插手 长期 感到 不满 ， 普京 热衷于 利用 政治 寒意 以及 削弱 土耳其 与 西方 世界 的 关系
the Russian leader certainly won bonus points with Ankara for calling in support of the elected authorities after the attempted coup ||| 由于 在 政变 失败 后 拥护 当选 当局 ， 俄罗斯 领导人 必将 获得 安卡拉 的 加分
mind you , that &apos;s a given for Moscow which has its own deep @-@ seated fear of regime change ||| 注意 ， 这 对于 一直 对 政权 更迭 怀抱 根深蒂固 恐惧 的 莫斯科 来说 是 一种 馈赠
so the summit at this glitzy , seaside palace allowed Russia and Turkey to present what one analyst described to me as an &quot; alliance of misfits &quot; : two countries that feel rejected and mistreated by the West , joining forces ||| 因此 ， 在 这个 金碧辉煌 的 海边 宫殿 所 举行 的 会面 使 俄罗斯 与 土耳其 两个 被 西方 世界 拒绝 与 虐待 的 国家 结成 盟友 ， 一位 分析师 将 其 描述 为 “ 格格不入 联盟 ”
still , despite the public display of reconciliation , the two still have major differences ||| 然而 ， 尽管 公开 和解 ， 但 双方 仍 存在 重大 分歧
the key one is Syria , where Moscow has recently been casting itself as peacemaker but where Russia and Turkey back opposite sides ||| 叙利亚 是 关键因素 之一 。 莫斯科 近日 在 叙利亚 扮演 和事佬 的 角色 ， 而 俄罗斯 与 土耳其 却 支持 相反 派别
it could be telling that after almost three hours of initial talks , the two presidents told a press conference that they hadn &apos;t even touched on the topic ||| 可以 预见到 的 是 ， 在 经过 近 三个 小时 的 初步 谈话 后 ， 两位 总统 在 发布会 上 表示 ， 尚未 谈及 那个 话题
Turkey &apos;s president deliberately avoided answering a question on their differences , while Mr Putin chose to underline them ||| 土耳其 总统 刻意 回避 关于 双方 分歧 的 问题 ， 而 普京 则 予以强调
there is no clear consensus on where they can seek common ground on Syria ||| 双方 就 如何 在 叙利亚 问题 上 求同存异 未 达成 明确 共识
but after months of open hostility - and given the potential for utter disaster when Nato member Turkey shot down that Russian fighter jet - it is surely better that the two leaders are at least talking again ||| 在 北大西洋公约组织 成员国 土耳其 击落 俄 战机 所 带来 的 数月 公开 敌对 及 引发 大型 灾难 的 可能 下 ， 两 国 领导人 再次 重启 对话 肯定 是 件 好事
Royal Bank of Scotland to disappear for customers outside Scotlan ||| 苏格兰 皇家 银行 将 不再 为 苏格兰 以外 客户 服
the brand RBS is to be reduced to a back office role , according to the bank &apos;s chief executive ||| 据 苏格兰 皇家 银行 首席 执行官 透露 ， 银行 将 简化 为 一个 后勤部门
Royal Bank of Scotland will disappear for customers outside Scotland ||| 苏格兰 皇家 银行 将 不再 为 苏格兰 以外 的 客户服务
Ross McEwan told BBC Scotland that the RBS brand was associated with the bank &apos;s global ambitions ||| 罗斯 · 麦克 尤恩 告诉 英国广播公司 苏格兰 分部 ， 苏格兰 皇家 银行 品牌 曾经 致力于 其 全球 雄心壮志
it has retreated from them since it nearly collapsed eight years ago and had to be bailed out ||| 但 八年 前 濒临 倒闭 ， 不得不 接受 救助 从 那时 开始 便 放弃 了 那样 的 追求
during that time , brand strategists have used &apos; RBS &apos; to protect other consumer finance brands ||| 那 段时间 ， 品牌策略 师 使用 ‘ RBS ’ 来 保护 其它 消费 金融 品牌
it was backed with millions of pounds in sponsorship of international sport , from Six Nations rugby to Wimbledon champion Andy Murray ||| 集团 曾 耗费 数 百万英镑 以 赞助 橄榄球 六国赛 和 温布尔 顿 网球 锦标赛 冠军 安迪 · 穆雷 等 方式 赞助 国际 体育赛事
but now , it has been judged right to let more national brands come to the fore ||| 但是 现在 ， 正确 的 做法 是 让 更 多 的 国家 品牌 崭露头角
Royal Bank of Scotland will be used with Scottish customers , but will not be initialised ||| 苏格兰 皇家 银行 将 为 苏格兰 客户 所用 ， 但 不会 回复 原样
in England and Wales , all RBS references , outside head office and the stock exchange listing , will be changed to NatWest ||| 在 英格兰 和 威尔士 ， 所有 在 总部 及 证券 交易所 以外 的 提法 将 更 改为 国民 西敏寺 银行
the Ulster Bank brand is already used for customers in the Republic of Ireland and Northern Ireland ||| 阿尔斯特 银行 品牌 已 用于 爱尔兰共和国 与 北爱尔兰 自治区 的 客户
there are other , smaller brands for private banking , which will get more prominence - Coutts , Adam &amp; Co , Drummond , and Holt &apos;s Military Bank ||| 还有 一些 其它 更 突出 的 较 小 私人 银行 品牌 ， 例如 顾资 银行 、 Adam   &   Co 、   Drummond   与   Holt ' s   Military   Bank
Mr McEwan was interviewed during a tour of customers and staff in Inverness @-@ shire ||| 麦克 尤恩 先生 曾 在 因 弗 内斯 郡 客户 与 员工 的 参观 之 旅中 接受 采访
he told BBC Scotland : &quot; the RBS brand will end up becoming our investor brand and the one that our staff are employed with , because we are now becoming much more a bank of brands . ||| 他 告诉 英国广播公司 苏格兰 分部 说 ： “ 苏格兰 皇家 银行 品牌 将 最终 成为 我们 的 投资者 品牌 ， 同时 也 是 员工 受雇 品牌 之一 ， 因为 目前 更大 意义 上 我们 已 成为 一个 拥有 众多 品牌 的 银行 。
as the bank itself became a global brand , RBS became the global brand ||| 由于 该 银行 本身 成为 一个 国际品牌 ， RBS 也 成为 全球 品牌
I &apos;m now saying we no longer have global aspirations , we have local aspirations ||| 目前 ， 我 要说 的 是 ， 我们 不再 重点 关注 全球 ， 我们 已 将 目光 转向 本土
each one of those brands will stand for something quite different in their own communities , and our staff will work with customers under those brands ||| 每 一个 品牌 代表 着 各自 所在 行业 的 不同 ， 而 我们 的 员工 通过 不同 品牌 为 客户服务
RBS had already stated that it would not to continue its Six Nations sponsorship , and it has been raising the profile of different brands in its sports sponsorship ||| 苏格兰 皇家 银行 已 表明 不会 继续 赞助 六 国 锦标赛 ； 同时 ， 已 努力 提升 不同 品牌 在 体育赛事 赞助 的 形象
&quot; the time is right for us to move to the bank of brands , because underneath ( we &apos;ve been asking ) how do we focus on making this a better bank for customers ? &quot; said the chief executive ||| 首席 执行官 表示 ： “ 现在 到 了 成为 一家 多 品牌 银行 的 时候 ， 因为 私下 我们 一直 在 探求 如何 成为 一家 更好 的 服务 于 客户 的 银行 。
it would have been very cynical three years ago if we &apos;d said we &apos;re going to be a great bank for customers and put those brands out there ||| 如果 三年 前 我们 立志 成为 一家 拥有 众多 品牌 的 大 银行 将 备受 嘲讽
but with the work we &apos;ve been doing , focussing on the customers needs , not our own , I think you &apos;re seeing a lot of change ||| 目前 我们 重点 关注 客户 需求 ， 并且 我 相信 您 已 注意 到 了 这些 变化
we can bring those brands back up again , so I think the time is right ||| 我 认为 我们 可以 重新启动 这些 品牌 ， 而且 现在 时间 正合适
Frankie Dettori reaches 3,000 winners with victory at Newmarket on Predilectio ||| 戴图理 凭借   Predilection   在 纽马 基特 的 成功 取得 职业 3 , 000
Dettori sprays champagne after a double at Newmarket takes him to 3,000 win ||| 纽马 基特 的 两场 胜利 助力 戴图理 取得 职业 3 , 000 胜 ， 之后 他 喷 香槟 庆
Jockey Frankie Dettori secured his 3,000th British winner at Newmarket on Friday ||| 周五 ， 职业 赛马 骑师 戴图理   ( Frankie   Dettori )   在 纽马 基特   ( Newmarket )   取得 了 他 的 第 3 , 000 场 胜利
he brought up the landmark with his second winner of the night at his local track - on predilection , trained by John Gosden ||| 他策 着 出自 练马师 高仕登   ( John   Gosden )   之手 的   Predilection   在 马道 上 急驰 ， 于 当晚 收获 两场 胜利 ， 也 借此 实现 了 职业 3 , 000 胜
the 45 @-@ year @-@ old Italian is the sixth jockey to reach the landmark in Flat racing ||| 这位 现年 45 岁 的 意大利人 是 第六位 在 平地 赛 领域 取得 这一 里程碑 的 职业 赛马 骑师
he follows Sir Gordon Richards , Doug Smith , Lester Piggott , Pat Eddery and Willie Carson ||| 前 五位 分别 是 ： 哥顿 · 李察   ( Gordon   Richards )   爵士 、 道 格 · 史密斯   ( Doug   Smith ) 、 柏葛   ( Lester   Piggott ) 、 魏德礼   ( Pat   Eddery )   和 嘉逊   ( Willie   Carson )
three @-@ time champion jockey Dettori , who earlier won on Ghayyar , said : &quot; it &apos;s special . ||| 早前 在   Ghayyar   获胜 的 三届 冠军 骑师 戴图理 说 ： “ 这 很 特别 。
I &apos;m very emotional because my family are here as wel ||| 我 很 激动 ， 因为 我 的 家人 也 在 现
I &apos;m very pleased for it to have happened at Newmarket because this is where I landed 30 years ago ||| 我 对 自己 在 纽马 基特 取得 的 成绩 感到高兴 ， 因为 30 年前 我 就 是从 这里 起步 的
it &apos;s not a big meeting , it &apos;s not a Royal Ascot - it &apos;s a mundane Friday night with 20,000 people ||| 这 不是 一场 大规模 的 赛马会 ， 也 不是 英国皇家 爱斯科 赛马会   ( Royal   Ascot ) ， 这 只是 一个 有着 20 , 000 名 观众 的 普通 的 周五 晚上
I &apos;m relieved and very humble ||| 我 很 欣慰 ， 也 很 谦恭
Dettori soaks up the cheers as he brings in predilection after victor ||| 戴图理 在 获胜 后 牵来 了   Predilection ， 引起 了 全场 欢
two jockeys have reached the milestone in jump racing - champion jockey Richard Johnson and retired 20 @-@ time champion Sir Anthony McCoy , who had more than 4,300 victories in a record @-@ breaking career ||| 在 障碍赛 领域 ， 有 两名 骑师 取得 了 这 一 成就 ， 他们 分别 是 冠军 骑师 理查德 · 约翰逊   ( Richard   Johnson )   和 现已 退役 的 20 届 冠军 麦考伊   ( Anthony   McCoy )   爵士 ， 其中 麦考伊 爵士 在 其 破纪录 的 职业生涯 中 取得 了 超过 4 , 300 场 胜利
Lester Piggott , nine @-@ time Derby winner , 4,493 career win ||| 柏葛是 九届 德 比赛 冠军 ， 在 其 职业生涯 中共 取得 了 4 , 493 场胜
Frankie is one of the best jockeys of the modern era and it is no surprise he has reached this landmark so few have achieved before him ||| 戴图理 是 当代 最棒 的 骑师 之一 ， 所以 他 取得 这一 里程碑式 成就 也 就 不足为奇 了 ， 在 他 之前 取得 这一 成就 的 人 不 多
he is stylish and strong , but it is his tactical nous that sets him apart from others in the weighing room ||| 他 时尚 而 健硕 ， 但是 真正 让 他 在 称重 室 中 脱颖而出 的 却是 他 在 战术 上 的 理性
he is a fantastic ambassador for racing , his enthusiasm and charisma have been drawing fans to the sport for years ||| 他 是 一位 了不起 的 马术 大使 ， 多年 来 ， 他 的 热情 和 魅力 为 这项 运动 吸引 了 大量 粉丝
I said to Frankie a few weeks ago at Epsom he &apos;d have ridden 6,000 winners if he wasn &apos;t just a weekend and big @-@ race jockey ||| 几周 前 ， 我 在   Epsom   跟 戴 图理 说 ， 如果 他 不仅仅 是 一个 周末 与 大赛 骑师 ， 他 应该 已经 能 取得 6 , 000 场 胜利 了
seriously though , Frankie &apos;s been riding winners in the UK for the best part of 30 years which is great to see ||| 说真的 ， 戴图理 堪称 英国 三十年 来 最好 的 马术 获胜者 ， 这 一点 太 重要 了
he &apos;s a lively character which is good for British racing but more than that , he &apos;s an incredible jockey ||| 他 性格 活泼 ， 这 对 英国 赛马 来说 是 好事 ， 但是 除此之外 ， 他 还是 一位 不可思议 的 骑师
Frankie Dettori celebrated the milestone with a trademark flying dismoun ||| 戴图理 以 其 标志性 的 跳跃 下马 动作 庆祝 这一 里程
from flying finishes to flying dismounts , Frankie Dettori has been the poster boy of British Flat racing for two decades ||| 从 跳跃 冲线 到 跳跃 下马 ， 二十年 来 ， 戴图理 一直 是 英国 平地 赛 领域 的 典型 代表
it has been a rollercoaster ride ||| 他 的 职业生涯 如 过山车 一般
stacks of big @-@ race winners , including his famous 1996 &apos; Magnificent Seven &apos; at Ascot , but he also survived a plane crash and served a drugs ban ||| 他 获得 了 多场 大赛 的 冠军 ， 其中 包括 1996 年 在 英国皇家 爱斯科 赛马会 取得 的 著名 的 “ 七 连胜 ” ， 但是 ， 他 也 遭遇 了 坠机 事件 ， 还 因 服用 禁药 遭到 禁赛
three years ago he initially struggled when returning from that six @-@ month suspension , but he showed formidable strength of character to defy the doubters and return to his best ||| 三年 前 ， 当 他 在 六个月 禁期 结束 后 重回 赛场 时 ， 曾一度 很 吃力 。 但是 ， 他 表现 出 了 惊人 的 性格 优势 ， 并 终于 重回 巅峰 ， 给 那些 持 怀疑 态度 的 人 当头一棒
and he may not be done for some time - Dettori has previously said he would like to carry on competing until the age of 50 , at least ||| 他 或许 做不了 太 长时间 了 — — 戴图理 之前 曾 说 过 ， 他 希望 至少 能 参赛 到 50 岁 前
Russia &apos;s Putin sacks chief of staff Sergei Ivano ||| 俄罗斯 总统 普京 解除 谢尔盖 · 伊万诺夫 办公厅 主任 职
Russian President Vladimir Putin has unexpectedly dismissed his chief of staff Sergei Ivanov ||| 俄罗斯 总统 弗拉基米尔 · 普京   ( Vladimir   Putin )   出乎意料 地 解除 了 谢尔盖 · 伊万诺夫   ( Sergei   Ivanov )   的 总统 办公厅 主任 职务
Mr Ivanov has been part of Mr Putin &apos;s trusted inner circle for many years ||| 多年 来 ， 伊万诺夫 先生 一直 是 深得 普京 先生 信任 的 核心 集团 的 一 分子
the 63 @-@ year @-@ old has now been made a special representative for environmental and transport issues ||| 现年 63 岁 的 伊万诺夫 如今 已 被 任命 为 环境 与 交通 问题 特别 代表
a statement from the Kremlin said that Mr Putin had &quot; decreed to relieve Ivanov of his duties as head of the Russian presidential administration , &quot; but gave no reason ||| 克里姆林宫 的 一份 声明 称 ， 普京 先生 已 “ 宣布 解除 伊万诺夫 的 俄罗斯 总统 办公厅 主任 一职 ， ” 但是 没有 给出 原因
Mr Ivanov &apos;s deputy since 2012 , Anton Vaino , has been appointed as his successor ||| 2012 年 开始 担任 伊万诺夫 先生 副手 的 安东 · 瓦伊 诺   ( Anton   Vaino )   已获 任命 为 他 的 接任 者
Mr Vaino , 44 , is a former diplomat ||| 瓦伊 诺 先生 现年 44 岁 ， 是 一名 前 外交官
born in the Estonian capital Tallinn in 1972 , he graduated from the prestigious Moscow State Institute of International Relations ( MGIMO ) and served in the Tokyo embassy ||| 他 1972 年 出生 在 爱沙尼亚 首都 塔林 ， 毕业 于 著名 的 莫斯科 国立 国际关系学院   ( MGIMO ) ， 在 东京 大使馆 工作 过
later he managed presidential protocol and government staff , the Kremlin website says ( in Russian ) ||| 后来 ， 他 管理 总统 草案 和 政府 员工 ， 克里姆林宫 网站 （ 使用 俄语 ） 如是说
on being appointed , he told Mr Putin : &quot; thank you for your trust . ||| 获 任命 后 ， 他 对 普京 先生 说 ： “ 谢谢您 的 信任 。
I think the administration &apos;s most important task is to support your activity as head of state in terms of drafting laws and control over how your instructions are implemented ||| 我 认为 本 政府 最 重要 的 任务 就是 支持 国家元首 起草 法律 和 控制指令 实施
Mr Putin told a Russian TV station on Friday that Mr Ivanov had asked to leave the post , and recommended that Mr Vaino should replace him ||| 普京 先生 周五 告诉 俄罗斯电视台 说 ， 伊万诺夫 先生 自己 要求 辞职 并 推荐 了 瓦伊 诺 先生 来 接任 自己
do the smiles convince ||| 这样 的 笑容 令人信服 吗
this is a move that has mystified Moscow ||| 莫斯科 对 此举 感到 不解
Sergei Ivanov has long been one of Vladimir Putin &apos;s closest allies and , like him , served in the Soviet security service , the KGB ||| 长期以来 ， 谢尔盖 · 伊万诺夫 一直 是 普京 最 亲密 的 助手 之一 ， 跟 普京 一样 ， 也 在 苏联 安全局 （ 克格勃 ） 工作 过
as chief of staff he was one of the most powerful men in the country ||| 作为 办公厅 主任 ， 他 曾 是 该国 最具 影响力 的 人士 之一
in a meeting with President Putin shown on state television both men claimed that the chief of staff was stepping down at his own request ||| 在 国家 电视台 播出 的 一次 与 普京 总统 的 会 面上 ， 两 人均 称 是 这位 办公厅 主任 自己 要求 辞职 的
